"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ecnu03",,,,"User:","root"
"Cmdline:","dstat -tcmnd --output giraph_roadNet_capacity_worker2_3G.csv 1",,,,"Date:","16 Dec 2025 19:48:07 CST"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",
16-12 19:48:34,1.751,0.250,97.799,0,0,1400080,4014168,53560,1899300,5307.667,7963.002,0,0
16-12 19:48:35,2.999,0.250,95.964,0,0,1400080,4014168,53560,1899300,6879.416,7424.211,0,0
16-12 19:48:36,2.251,0.500,96.295,0,0,1400776,4013472,53560,1899300,3931.826,24735.488,0,0
16-12 19:48:37,1.249,0.749,98.393,0,0,1400776,4013472,53560,1899300,1213.685,2623.159,0,0
16-12 19:48:38,0.250,0,98.613,0,0,1391604,4022632,53572,1899300,1709.965,2157.480,0,64.074
16-12 19:48:39,0.500,0,98.736,0,0,1390284,4023952,53572,1899300,1152.840,2313.679,0,0
16-12 19:48:40,0.500,0.250,98.511,0,0,1390284,4023952,53572,1899300,987.112,1736.197,0,0
16-12 19:48:41,0.750,0.250,98.251,0.500,0,1390284,4023952,53572,1899300,1338.007,1851.010,0,508.003
16-12 19:48:42,1.250,0.500,97.498,0.750,0,1390284,4023952,53572,1899300,1268.980,2417.962,0,4703.927
16-12 19:48:43,0.500,0,98.749,0,0,1390284,4023952,53572,1899300,1046.989,2907.970,0,4.000
16-12 19:48:44,1.000,0,97.988,0,0,1390276,4023952,53580,1899300,2881.634,1908.758,0,107.986
16-12 19:48:45,1.499,0.500,98.197,0,0,1390276,4023952,53580,1899300,1092.414,2266.783,0,0
16-12 19:48:46,0.250,0.250,94.056,4.503,0,1390272,4023952,53580,1899304,987.591,1745.045,0,44746.789
16-12 19:48:47,1.500,0.250,97.480,0,0,1390272,4023952,53580,1899304,1453.705,1946.605,0,11.998
16-12 19:48:48,0.500,0.750,95.970,2.249,0,1390480,4023712,53580,1899336,1158.636,2321.271,0,40135.396
16-12 19:48:49,0.500,0,98.801,0,0,1390480,4023712,53592,1899324,987.507,1744.896,0,88.045
16-12 19:48:50,0.999,0.250,98.439,0,0,1390468,4023712,53592,1899336,6431.003,2900.197,0,0
16-12 19:48:51,0.750,0.500,98.808,0,0,1390468,4023712,53592,1899336,1786.051,2973.749,0,0
16-12 19:48:52,0.750,0,98.496,0,0,1390468,4023712,53592,1899336,1088.961,1785.936,0,0
16-12 19:48:53,0.500,0.250,99.000,0,0,1390468,4023712,53592,1899336,2815.995,1809.997,0,36.000
16-12 19:48:54,0.999,0.500,97.950,0,0,1390468,4023712,53592,1899336,1838.057,3230.343,0,0
16-12 19:48:55,0.750,0,98.557,0,0,1390460,4023712,53600,1899336,987.570,1745.007,0,48.028
16-12 19:48:56,0.750,0.250,99.003,0,0,1390712,4023460,53600,1899336,987.030,1744.052,0,124.004
16-12 19:48:57,0.499,0.499,98.399,0,0,1390712,4023460,53600,1899336,1484.481,2414.530,0,0
16-12 19:48:58,0.500,0,98.847,0,0,1390712,4023460,53600,1899336,987.974,1737.714,0,0
16-12 19:48:59,0.250,0.250,99.255,0,0,1390712,4023460,53600,1899336,1047.052,2392.119,0,4.000
16-12 19:49:00,0.749,0.500,98.174,0,0,1390936,4023236,53600,1899336,1971.478,3930.966,0,0
16-12 19:49:01,0.500,0.250,98.305,0.250,0,1390924,4023236,53608,1899336,2220.250,2447.377,0,72.041
16-12 19:49:02,0.500,0.500,98.502,0,0,1390924,4023236,53608,1899336,1568.035,2168.049,0,0
16-12 19:49:03,0.750,0,98.517,0,0,1390924,4023236,53608,1899336,1486.259,2417.420,0,0
16-12 19:49:04,0.250,0.250,98.981,0,0,1390924,4023236,53608,1899336,1052.793,1875.631,0,0
16-12 19:49:05,0.750,0.250,98.752,0,0,1390924,4023236,53608,1899336,987.016,1736.029,0,0
16-12 19:49:06,0.750,0,97.763,0,0,1380932,4033228,53624,1899320,3312.446,3209.432,0,272.037
16-12 19:49:07,0.500,0.250,98.988,0,0,1380932,4033228,53624,1899320,986.878,1744.784,0,4.000
16-12 19:49:08,1.000,0.250,98.516,0,0,1380900,4033244,53624,1899336,1389.222,1995.318,0,0
16-12 19:49:09,0.500,0.250,98.511,0,0,1380900,4033244,53624,1899336,1570.181,2752.318,0,0
16-12 19:49:10,0.500,0.250,98.964,0,0,1380900,4033244,53624,1899336,986.637,1744.358,0,7.997
16-12 19:49:11,0.999,0.500,98.427,0,0,1380900,4033244,53624,1899336,986.268,1735.711,0,0
16-12 19:49:12,1.001,0,98.100,0,0,1381116,4033020,53632,1899336,1603.638,2530.585,0,36.037
16-12 19:49:13,0.250,0,98.997,0,0,1381116,4033020,53632,1899336,1246.962,1938.941,0,35.999
16-12 19:49:14,0.500,0.500,98.745,0,0,1381116,4033020,53632,1899336,1046.948,1790.911,0,0
16-12 19:49:15,1.500,0.250,97.758,0,0,1381340,4032796,53632,1899336,3086.250,2532.205,0,0
16-12 19:49:16,0.500,0,99.000,0,0,1381340,4032796,53632,1899336,1053.002,1799.004,0,0
16-12 19:49:17,0.500,0.500,98.751,0,0,1381340,4032796,53640,1899328,1325.008,1951.012,0,184.001
16-12 19:49:18,0.999,0,98.391,0,0,1381580,4032544,53640,1899340,1484.352,2415.318,0,11.987
16-12 19:49:19,0.501,0,98.863,0,0,1381580,4032544,53640,1899340,1086.241,1845.109,0,4.005
16-12 19:49:20,0.250,0.500,98.741,0,0,1381580,4032544,53640,1899340,1493.867,2078.816,0,0
16-12 19:49:21,0.750,0.500,98.755,0,0,1381580,4032544,53640,1899340,1692.094,2610.145,0,0
16-12 19:49:22,0.500,0,98.752,0,0,1381580,4032544,53640,1899340,1085.026,1843.045,0,0
16-12 19:49:23,1.000,0,98.235,0,0,1381580,4032544,53648,1899332,1126.823,1884.704,0,31.995
16-12 19:49:24,1.000,0.250,98.515,0,0,1381572,4032544,53648,1899340,3602.566,3254.511,0,0
16-12 19:49:25,0.250,0,98.748,0,0,1381572,4032544,53648,1899340,1531.976,2122.967,0,0
16-12 19:49:26,1.000,0.500,98.999,0,0,1381572,4032544,53648,1899340,986.989,1736.980,0,0
16-12 19:49:27,0.500,0.250,98.495,0,0,1381572,4032544,53648,1899340,1443.926,2375.879,0,0
16-12 19:49:28,0.250,0,98.754,0,0,1381572,4032544,53648,1899340,1089.048,1833.081,0,0
16-12 19:49:29,0.750,0,98.749,0.250,0,1381564,4032544,53656,1899340,986.994,1736.989,0,20.000
16-12 19:49:30,0.500,0.250,98.747,0,0,1381564,4032544,53656,1899340,2271.939,3186.914,0,0
16-12 19:49:31,4.250,0.250,95.246,0,0,1381560,4032544,53656,1899344,1046.957,1790.926,0,0
16-12 19:49:32,0.999,0.500,97.931,0,0,1381560,4032544,53656,1899344,1172.180,1851.704,0,11.992
16-12 19:49:33,0.500,0,98.807,0,0,1381560,4032544,53656,1899344,1552.900,2741.589,0,4.002
16-12 19:49:34,0.500,0.500,98.774,0,0,1381552,4032544,53664,1899344,1113.268,1931.464,0,24.006
16-12 19:49:35,0.250,0,98.748,0,0,1381552,4032544,53664,1899344,986.982,2306.958,0,0
16-12 19:49:36,0.750,0.250,98.501,0,0,1381552,4032544,53664,1899344,3302.039,2562.030,0,0
16-12 19:49:37,0.250,0.250,98.498,0,0,1381552,4032544,53664,1899344,1141.981,1852.970,0,0
16-12 19:49:38,1.000,0,98.987,0,0,1381552,4032544,53664,1899344,1088.857,1832.758,0,0
16-12 19:49:39,0.500,0.250,98.501,0,0,1381552,4032544,53664,1899344,1444.010,2376.016,0,0
16-12 19:49:40,0.750,0.500,98.998,0,0,1381544,4032544,53672,1899344,1329.969,1926.955,0,20.000
16-12 19:49:41,0.750,0.250,98.739,0,0,1381544,4032544,53672,1899344,1046.883,1798.800,0,7.999
16-12 19:49:42,0.500,0,97.966,0,0,1381544,4032544,53672,1899344,1443.494,2375.168,0,0
16-12 19:49:43,0.750,0.500,99.061,0,0,1381768,4032320,53672,1899344,1149.707,2998.844,0,0
16-12 19:49:44,0.750,0,98.737,0,0,1381768,4032320,53672,1899344,986.869,1744.768,0,39.995
16-12 19:49:45,0.750,0,98.498,0,0,1381768,4032320,53672,1899344,2987.943,2441.953,0,0
16-12 19:49:46,0.500,0.250,98.734,0,0,1381760,4032320,53680,1899344,2044.675,52315.685,0,47.992
16-12 19:49:47,0.750,0.250,98.254,0,0,1381760,4032320,53680,1899344,987.035,1737.062,0,0
16-12 19:49:48,0.750,0.500,98.221,0,0,1381968,4032080,53680,1899376,1605.533,2471.281,0,47.986
16-12 19:49:49,0.500,0.250,98.553,0,0,1381968,4032080,53680,1899376,1119.599,1811.969,0,0
16-12 19:49:50,0.750,0,98.746,0,0,1381968,4032080,53680,1899376,1110.952,1858.920,0,4.000
16-12 19:49:51,0.500,0.250,98.230,0,0,1381960,4032080,53688,1899376,1443.710,2375.523,0,31.994
16-12 19:49:52,0.750,0,98.782,0,0,1381960,4032080,53688,1899376,987.324,1737.571,0,0
16-12 19:49:53,0.750,0.500,98.752,0,0,1381960,4032080,53688,1899376,987.018,1745.032,0,36.001
16-12 19:49:54,0.500,0.250,98.442,0,0,1381960,4032080,53688,1899376,3641.856,3294.061,0,7.995
16-12 19:49:55,0.750,0.250,98.549,0,0,1381960,4032080,53688,1899376,987.492,1737.865,0,0
16-12 19:49:56,0.250,0,99.250,0,0,1381960,4032080,53688,1899376,987.000,1745.000,0,0
16-12 19:49:57,0.750,0,98.195,0.250,0,1382212,4031828,53696,1899368,1443.193,2366.676,0,35.980
16-12 19:49:58,0.250,0.750,98.813,0,0,1382204,4031828,53696,1899376,987.629,1746.112,0,0
16-12 19:49:59,0.500,0.250,98.995,0,0,1382204,4031828,53696,1899376,1028.947,1786.908,0,0
16-12 19:50:00,0.750,0,98.977,0,0,1382200,4031828,53696,1899380,1623.616,3097.268,0,0
16-12 19:50:01,1.000,0,98.532,0,0,1382200,4031828,53696,1899380,1047.342,1799.587,0,4.001
16-12 19:50:02,1.000,0.250,98.242,0,0,1382200,4031828,53696,1899380,986.915,1744.850,0,0
16-12 19:50:03,1.000,0.250,97.991,0,0,1382416,4031604,53704,1899380,2633.760,66057.981,0,27.997
16-12 19:50:04,10.251,0.750,88.762,0,0,1382416,4031604,53704,1899380,2454.330,3626.488,0,0
16-12 19:50:05,0.500,0.250,98.745,0,0,1382416,4031604,53704,1899380,1094.947,1840.910,0,0
16-12 19:50:06,0.750,0.250,98.754,0,0,1382416,4031604,53704,1899380,3174.139,2542.111,0,0
16-12 19:50:07,1.000,0,98.720,0,0,1382416,4031604,53704,1899380,1238.629,1930.422,0,0
16-12 19:50:08,0.750,0.250,98.521,0.250,0,1382408,4031604,53712,1899380,987.213,1745.376,0,28.006
16-12 19:50:09,0.500,0.250,98.507,0,0,1382408,4031604,53712,1899380,1505.114,2430.184,0,0
16-12 19:50:10,0.750,0,98.995,0,0,1382408,4031604,53712,1899380,1403.933,1914.909,0,0
16-12 19:50:11,1.000,0.250,98.001,0,0,1382408,4031604,53712,1899380,2604.034,3126.041,0,0
16-12 19:50:12,0.500,0.250,98.990,0,0,1382408,4031604,53712,1899380,2065.791,2685.728,0,0
16-12 19:50:13,0.750,0.500,98.733,0,0,1382408,4031604,53712,1899380,987.828,1736.697,0,3.999
16-12 19:50:14,0.500,0,98.787,0,0,1382408,4031604,53712,1899380,988.369,1745.652,0,0
16-12 19:50:15,0.999,0.500,97.946,0,0,1382400,4031604,53720,1899380,3103.294,2536.605,0,47.974
16-12 19:50:16,0.500,0.250,98.797,0,0,1382396,4031604,53720,1899384,988.468,1745.827,0,0
16-12 19:50:17,0.750,0,98.725,0,0,1382396,4031604,53720,1899384,987.749,1744.556,0,0
16-12 19:50:18,1.248,0.250,97.860,0,0,1382396,4031604,53720,1899384,1442.930,2372.597,0,3.994
16-12 19:50:19,0.250,0.250,98.657,0,0,1382396,4031604,53720,1899384,989.579,1747.788,0,0
16-12 19:50:20,0.750,0.250,99.012,0,0,1382640,4031352,53728,1899384,1030.123,1779.212,0,28.003
16-12 19:50:21,0.750,0.250,98.745,0,0,1382640,4031352,53728,1899384,2766.855,65201.588,0,4.000
16-12 19:50:22,0.500,0.250,98.738,0,0,1382640,4031352,53728,1899384,1047.875,1798.785,0,39.995
16-12 19:50:23,0.500,0.250,98.765,0,0,1382640,4031352,53728,1899384,1108.173,1791.279,0,0
16-12 19:50:24,1.250,0,98.498,0,0,1382640,4031352,53728,1899384,3603.912,3253.920,0,0
16-12 19:50:25,0.250,0.500,98.000,0,0,1384396,4029588,53736,1899384,1222.002,1973.004,0,64.000
16-12 19:50:26,0.750,0,99.005,0,0,1384396,4029588,53736,1899384,988.045,1745.079,0,8.000
16-12 19:50:27,0.500,0.500,98.754,0,0,1384396,4029588,53736,1899384,1445.055,2376.091,0,0
16-12 19:50:28,0.750,0.250,98.990,0,0,1384396,4029588,53736,1899384,987.897,1744.817,0,0
16-12 19:50:29,0,0,98.727,0,0,1384396,4029588,53736,1899384,987.768,1744.590,0,0
16-12 19:50:30,0.750,0.250,98.526,0,0,1384388,4029588,53744,1899384,2273.596,3179.834,0,48.013
16-12 19:50:31,1.000,0,98.752,0,0,1384388,4029588,53744,1899384,1090.022,1841.038,0,0
16-12 19:50:32,0.500,0.250,98.210,0,0,1384388,4029588,53744,1899384,988.594,1744.283,0,0
16-12 19:50:33,0.748,0.499,98.536,0,0,1384388,4029588,53744,1899384,1442.873,2924.661,0,3.991
16-12 19:50:34,0.752,0.251,98.758,0,0,1384388,4029588,53744,1899384,1182.091,1943.080,0,12.031
16-12 19:50:35,0.750,0.250,98.987,0,0,1384388,4029588,53744,1899384,1108.853,1853.753,0,0
16-12 19:50:36,0.500,0,98.502,0,0,1384376,4029588,53756,1899384,3032.058,2485.048,0,60.001
16-12 19:50:37,0.250,0,98.754,0,0,1384376,4029588,53756,1899384,1109.045,1854.075,0,0
16-12 19:50:38,0.750,0.500,99.003,0,0,1384376,4029588,53756,1899384,1049.032,1792.055,0,4.000
16-12 19:50:39,0.250,0,98.998,0,0,1384376,4029588,53756,1899384,1445.976,2376.961,0,0
16-12 19:50:40,0.750,0.500,98.462,0,0,1384376,4029588,53756,1899384,988.619,1737.331,0,3.998
16-12 19:50:41,0.500,0.250,98.749,0,0,1384376,4029588,53756,1899384,1030.993,1787.988,0,0
16-12 19:50:42,0.750,0,98.535,0,0,1384372,4029588,53760,1899384,1446.509,2369.834,0,28.010
16-12 19:50:43,0.250,0.250,98.948,0,0,1384368,4029588,53760,1899388,1048.444,2908.458,0,0
16-12 19:50:44,1.001,0.500,98.304,0,0,1384620,4029336,53760,1899388,2353.296,3240.785,0,12.007
16-12 19:50:45,0.750,0,98.005,0,0,1384620,4029336,53760,1899388,3363.159,3309.156,0,48.002
16-12 19:50:46,0.500,0.250,99.000,0,0,1384620,4029336,53760,1899388,1172.998,1853.997,0,4.000
16-12 19:50:47,0.250,0.500,98.249,0,0,1384620,4029336,53760,1899388,1048.990,1791.982,0,0
16-12 19:50:48,0.750,0,98.235,0.250,0,1384580,4029336,53764,1899424,1566.757,2540.605,0,67.989
16-12 19:50:49,0.500,0.500,98.672,0,0,1380668,4033248,53764,1899424,1371.915,1996.421,0,0
16-12 19:50:50,1.001,0.250,98.346,0,0,1380668,4033248,53764,1899424,989.970,1739.704,0,40.039
16-12 19:50:51,1.500,0.250,98.251,0,0,1380668,4033248,53764,1899424,1489.015,2419.025,0,8.000
16-12 19:50:52,1.000,0,98.991,0,0,1380668,4033248,53764,1899424,988.911,1745.843,0,0
16-12 19:50:53,0.250,0,98.499,0.250,0,1380912,4032996,53772,1899424,988.989,1745.981,0,95.999
16-12 19:50:54,0.999,0.250,98.140,0,0,1380912,4032996,53772,1899424,3601.966,3243.368,0,0
16-12 19:50:55,0.751,0.250,98.869,0,0,1380912,4032996,53772,1899424,990.191,1748.102,0,0
16-12 19:50:56,0.750,0,99.001,0,0,1381136,4032772,53772,1899424,1031.012,1788.021,0,452.005
16-12 19:50:57,0.500,0.250,98.742,0,0,1381136,4032772,53772,1899424,1446.882,2376.807,0,4.000
16-12 19:50:58,0.500,0,99.207,0,0,1381136,4032772,53772,1899424,988.576,1737.254,0,0
16-12 19:50:59,0.500,0.500,98.258,0,0,1381128,4032772,53780,1899424,1338.103,1920.148,0,56.004
16-12 19:51:00,0.500,0,98.788,0,0,1381128,4032772,53780,1899424,1447.560,2377.920,0,0
16-12 19:51:01,0.500,0.250,98.999,0,0,1381124,4032772,53780,1899428,1164.988,2517.974,0,4.000
16-12 19:51:02,0.748,0.249,98.755,0,0,1381124,4032772,53780,1899428,1106.250,2402.029,0,3.990
16-12 19:51:03,0.501,0.501,98.473,0,0,1381124,4032772,53780,1899428,1450.287,2382.399,0,0
16-12 19:51:04,0.500,0.500,98.771,0,0,1381124,4032772,53780,1899428,1055.229,1878.409,0,12.003
16-12 19:51:05,0.500,0,98.999,0,0,1381116,4032772,53788,1899428,988.988,1745.978,0,28.000
16-12 19:51:06,0.500,0,98.737,0,0,1381116,4032772,53788,1899428,3032.605,2476.677,0,0
16-12 19:51:07,1.000,0,98.765,0,0,1381116,4032772,53788,1899428,989.148,1738.261,0,0
16-12 19:51:08,0.250,0.250,99.003,0,0,1381116,4032772,53788,1899428,989.026,1746.046,0,4.000
16-12 19:51:09,1.000,0.250,98.502,0,0,1381116,4032772,53788,1899428,1447.032,2369.052,0,0
16-12 19:51:10,0.250,0.250,98.965,0,0,1381116,4032772,53788,1899428,988.653,1745.387,0,0
16-12 19:51:11,0.250,0,98.757,0,0,1381116,4032772,53796,1899420,1091.078,1834.132,0,28.002
16-12 19:51:12,0.500,0.250,98.778,0,0,1381108,4032772,53796,1899428,1447.415,2369.679,0,0
16-12 19:51:13,0.500,0,98.747,0,0,1381108,4032772,53796,1899428,988.973,1745.952,0,0
16-12 19:51:14,1.000,0.250,98.499,0,0,1381108,4032772,53796,1899428,1048.991,1791.985,0,0
16-12 19:51:15,0.750,0.750,98.503,0,0,1381108,4032772,53796,1899428,2985.095,2443.078,0,4.000
16-12 19:51:16,0.250,0,98.732,0,0,1381108,4032772,53796,1899428,1030.808,1787.666,0,7.999
16-12 19:51:17,0.250,0,98.484,0,0,1381108,4032772,53796,1899428,1337.787,1919.694,0,3.999
16-12 19:51:18,0.500,0.500,98.744,0,0,1381100,4032772,53804,1899428,1570.910,2428.861,0,31.998
16-12 19:51:19,0.500,0.250,99.023,0,0,1381100,4032772,53804,1899428,989.226,1738.398,0,0
16-12 19:51:20,0.250,0,98.754,0,0,1381100,4032772,53804,1899428,989.038,1746.067,0,0
16-12 19:51:21,0.500,0.500,98.759,0,0,1381100,4032772,53804,1899428,1563.136,2465.214,0,4.000
16-12 19:51:22,0.500,0,99.252,0,0,1381100,4032772,53804,1899428,1049.023,1800.040,0,0
16-12 19:51:23,0.250,0,98.708,0,0,1381100,4032772,53804,1899428,988.584,1745.265,0,0
16-12 19:51:24,1.000,0.500,98.007,0,0,1381092,4032772,53812,1899428,3388.248,2619.192,0,24.002
16-12 19:51:25,0.500,0,99.025,0,0,1381092,4032772,53812,1899428,781.201,1791.461,0,0
16-12 19:51:26,0.500,0,99.001,0,0,1381092,4032772,53812,1899428,1115.012,1854.020,0,40.000
16-12 19:51:27,0.500,0.250,98.499,0,0,1381088,4032772,53812,1899432,1622.976,2526.962,0,0
16-12 19:51:28,0.500,0.250,99.010,0,0,1381088,4032772,53812,1899432,1049.105,1738.174,0,0
16-12 19:51:29,0.500,0.250,98.748,0,0,1381088,4032772,53820,1899424,988.981,1745.967,0,91.998
16-12 19:51:30,0.750,0.250,98.468,0,0,1381080,4032772,53820,1899432,2274.271,3178.981,0,0
16-12 19:51:31,0.250,0.250,98.775,0,0,1381080,4032772,53820,1899432,1195.303,2330.590,0,8.002
16-12 19:51:32,0.750,0.250,98.756,0,0,1381080,4032772,53820,1899432,277.016,903.051,0,4.000
16-12 19:51:33,0.749,0.250,98.593,0,0,1381080,4032772,53820,1899432,775.768,1581.488,0,0
16-12 19:51:34,0.250,0,98.878,0,0,1381080,4032772,53820,1899432,343.444,1044.351,0,0
16-12 19:51:35,1.250,0.500,97.507,0.250,0,1381704,4032028,53828,1899432,1616.118,5456.397,0,52.004
16-12 19:51:36,4.500,1.250,94.005,0,0,1367200,4046520,53828,1899456,6122.309,15929.804,0,0
16-12 19:51:37,0.750,0,99.005,0,0,1367200,4046520,53828,1899456,347.016,3971.185,0,16.001
16-12 19:51:38,0,0,99.246,0,0,1367200,4046520,53828,1899456,328.987,806.969,0,0
16-12 19:51:39,3.250,0.500,96.511,0,0,1367452,4046268,53828,1899456,625.070,1335.150,0,4.000
16-12 19:51:40,0.750,0,98.992,0,0,1367452,4046268,53828,1899456,166.987,710.946,0,0
16-12 19:51:41,0.750,0.500,98.255,0,0,1367944,4045764,53836,1899456,167.009,711.038,0,88.005
16-12 19:51:42,0.750,1.500,97.004,0,0,1015348,4444240,53836,1854668,479.018,1544.058,0,0
16-12 19:51:43,0.250,0,99.495,0,0,1015348,4444240,53836,1854668,282.986,726.965,0,0
16-12 19:51:44,0,0.500,98.751,0,0,1015348,4444240,53836,1854668,301.002,1673.010,0,0
16-12 19:51:45,0.750,0,99.233,0,0,1015348,4444240,53836,1854668,857.849,1510.735,0,3.999
16-12 19:51:46,0.250,0,99.022,0,0,1015348,4444240,53836,1854668,241.054,685.155,0,0
16-12 19:51:47,0.500,0.250,98.462,0,0,1015580,4443988,53852,1854672,240.907,676.738,0,163.937
